Date	Owner	Statement	Verdict	Link	Suitability	Notes	Possible Source(s) to use?
03/04/2014	Sir Gerald Howarth	At the present time 13 per cent of packs sold are illicit, denying the Treasury £3bn. If the Australian experience is anything to go by, that is likely to rocket.	FALSE	http://blogs.channel4.com/factcheck/factcheck-fag-packet-thinking/18009	No	Hard to assess causality	
03/04/2014	Japan Tobacco International	There is no credible evidence today to suggest it will work now or in the future.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-fag-packet-thinking/18009	No		
02/04/2014	Nick Clegg	Leaving the EU would put 3 million jobs at risk	FALSE	http://blogs.channel4.com/factcheck/factcheck-cleggfarage-lies/17991	No	Hard to assess causality	
02/04/2014	UKIP	EU membership costs £55m a day	FALSE	http://blogs.channel4.com/factcheck/factcheck-cleggfarage-lies/17991	No		
02/04/2014	UKIP	An enormous proportion of British law is made in Brussels	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-cleggfarage-lies/17991	No		
26/03/2014	Iain Duncan Smith	The last government said they were controlling welfare and it ballooned by 70 per cent, but the public were told constantly it was under control…	HALF TRUE	http://blogs.channel4.com/factcheck/labour-doffing-welfare-cap-ids-factcheck/17967	Yes		http://www.channel4.com/media/c4-news/images/chart.xls,https://www.gov.uk/government/publications/benefit-expenditure-and-caseload-tables-2013
20/03/2014	Employment Minister Esther McVey	The Work Programme is successfully helping people to turn their lives around so they can look after themselves and their families.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-work-programme-pressure-prove-worth/17957	No	Assessing causaiity and success is hard.	
18/03/2014	Grant Shapps	Ed Miliband’s prediction was completely wrong.	TRUE	http://blogs.channel4.com/factcheck/factcheck-conservative-job-claims-microscope/17937	No	The statemet to fact check is a prediction by someone else. Not sure if we should fact check that one instead. In some way, this fact checking the fact check.	
18/03/2014	Grant Shapps	The recovery is helping all regions of the UK, with new jobs springing up from John O’Groats to Land’s End.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-conservative-job-claims-microscope/17937	Yes	In a way, the "recvery" part is ignored here. Also note that there is a time element here, this statement cannot be judged ignoring when it was said.	http://www.ons.gov.uk/ons/publications/re-reference-tables.html?newquery=*&newoffset=25&pageSize=25&edition=tcm%3A77-296703#tab-Employment-tables
18/03/2014	Grant Shapps	In the last year, nine out of 10 of these new jobs have gone to British citizens.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-conservative-job-claims-microscope/17937	Yes	"these new jobs" refer to all recent new jobs.	http://www.ons.gov.uk/ons/publications/re-reference-tables.html?edition=tcm%3A77-296703#tab-Employment-tables
14/03/2014	American Beverage Association statement	It’s calories that count when it comes to weight loss, not uniquely calories from sugar.	HALF TRUE	http://blogs.channel4.com/factcheck/factcheck-sweet-truth-sugar/17921	Yes		http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0057873
12/03/2014	Liberal Democrat press release	Nick Clegg has revealed Labour’s secret plans to scrap half a million apprentices because they think they are ‘deadweight’.	FALSE	http://blogs.channel4.com/factcheck/factcheck-lib-dems-spin-control-apprenticeships/17905	No	The fact check depends on the interpretation of "secret" and "deadweight", which cannot be quantiifed objectively.	
